Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
0.0,68.0,-0.0019441081676632166,-0.0005779560888186097,-0.0015061440644785762,6.990563178987941e-06,-0.000365684914868325,0.04108021408319473,0.4360240697860718,-0.002577337669208646,-0.00042648756061680615,0.052025727927684784,0.0016744876047596335,-0.00020206571207381785,0.04111218824982643,0.4360881447792053,0.018800541758537292,0.00017648428911343217,0.020464105531573296,0.06458869576454163,-0.001471794443204999,0.13868077099323273,0.011089246720075607,0.011934852227568626,0.0009817100362852216,0.06103862449526787,0.06955236196517944,0.009979987516999245,0.01391763798892498,0.020726755261421204,0.018889687955379486,0.07253635674715042,0.060187529772520065,-0.0013783455360680819,0.003470600349828601,-0.001264073420315981,8.703764615347609e-05,-0.000142363176564686,0.0011653673136606812,0.2840484380722046,0.28406035900115967,0.10809502750635147,0.11928080767393112,0.05740390717983246,0.057106390595436096,0.08532918989658356,-0.0028245800640434027,-0.003348203841596842,0.0004832893318962306,0.04258902370929718,0.054645515978336334,-0.001999845262616873,0.0004171574837528169,-5.240747123025358e-05,-8.449908364127623e-07,-1.0547350370870845e-07,-5.96343454617454e-08,-0.03147710859775543,-0.058726657181978226,-0.002539045875892043,-0.028898654505610466,-0.05872725322842598,-0.009107152931392193,10.151426315307617,2.4594085216522217,15.473078727722168,2.369990348815918,40.24402618408203,9.313897132873535,21.747100830078125
1.0,68.0,-0.0018272853922098875,-0.0007303758175112307,-0.0013806746574118733,2.4165194190572947e-05,-0.00033831445034593344,0.041087474673986435,0.4271966516971588,-0.0026013273745775223,-0.0005831224261783063,0.05226470157504082,0.001574251102283597,-0.00019701238488778472,0.04111408069729805,0.42724499106407166,0.01887638121843338,0.00018710920994635671,0.02019752934575081,0.0614163763821125,-0.0014945130096748471,0.15925511717796326,0.015824003145098686,0.012282985262572765,0.0009095912682823837,0.05224775895476341,0.06173359230160713,0.0071599604561924934,0.010783936828374863,0.01949130930006504,0.01759408973157406,0.06664802879095078,0.05391388759016991,-0.0011751579586416483,0.0033593690022826195,-0.0013963772216811776,0.0004846489173360169,2.8316146199358627e-05,0.001391122816130519,0.2742757499217987,0.2737622559070587,0.11728176474571228,0.12888100743293762,0.061708007007837296,0.06137816980481148,0.08206703513860703,-0.00290780165232718,-0.003450248157605529,0.0005062849377281964,0.04175916314125061,0.05369054898619652,-0.002103497041389346,0.0006667755078524351,-3.936407301807776e-05,-8.081475471044541e-07,-1.0340581013679184e-07,-2.1784062198548781e-07,-0.03177319094538689,-0.05640869960188866,-0.0024347659200429916,-0.02816660888493061,-0.0564090758562088,-0.008555697277188301,10.514729499816895,2.475778818130493,14.468952178955078,2.311793088912964,41.76860809326172,9.465093612670898,20.794231414794922
2.0,68.0,-0.0015643121441826224,-0.0006736448267474771,-0.0014679522719234228,-3.764467328437604e-05,-0.00034080579644069076,0.0403829924762249,0.4181288778781891,-0.002581766340881586,-0.0005437821964733303,0.05201136693358421,0.0006025931797921658,-0.00022932376305107027,0.04039217531681061,0.41818177700042725,0.01904137060046196,0.00018710650329012424,0.01996709033846855,0.057173050940036774,-0.0014883630210533738,0.18000848591327667,0.020984776318073273,0.012452510185539722,0.0008440273231826723,0.044965390115976334,0.05428852513432503,0.003985025454312563,0.006898016203194857,0.018376093357801437,0.01639922894537449,0.062080081552267075,0.049989890307188034,-0.0007565163541585207,0.0033341378439217806,-0.0016678859246894717,0.0011396872578188777,0.00012308021541684866,0.0015265983529388905,0.2641061842441559,0.2633306086063385,0.12566398084163666,0.1372278332710266,0.06255774945020676,0.06215410307049751,0.07766005396842957,-0.003166724694892764,-0.003714774502441287,0.0004447497194632888,0.0401717871427536,0.051299192011356354,-0.002193283522501588,0.0006813559448346496,-1.6127823982969858e-05,-8.922450547288463e-07,-8.868827450214667e-08,-3.64553500276088e-07,-0.03211958706378937,-0.053408242762088776,-0.0022856818977743387,-0.027264030650258064,-0.05340816453099251,-0.0078079551458358765,11.335794448852539,2.4746086597442627,13.099067687988281,2.221879005432129,43.12174987792969,9.336222648620605,20.251012802124023
3.0,68.0,-0.0015588565729558468,-0.0006279407534748316,-0.00120120111387223,-0.00010146143176825717,-0.00033150159288197756,0.04126356542110443,0.4121783971786499,-0.002583214081823826,-0.0006815051310695708,0.0536385253071785,-0.00016235062503255904,-0.00027493981178849936,0.041284870356321335,0.4122311770915985,0.020618394017219543,0.00016918803157750517,0.01940510794520378,0.0551498681306839,-0.0018371384358033538,0.1926996260881424,0.01377088576555252,0.012180629186332226,0.0008116496610455215,0.03963373601436615,0.04804643243551254,0.0010623111156746745,0.0024571847170591354,0.017446864396333694,0.015504828654229641,0.06232405826449394,0.05139300227165222,-2.5741986974026076e-05,0.0034066620282828808,-0.0011945314472541213,0.0012577703455463052,0.0002397461939835921,0.0015423708828166127,0.2571941912174225,0.25721102952957153,0.12532460689544678,0.13645657896995544,0.0595366470515728,0.05917232111096382,0.0736304521560669,-0.002464242046698928,-0.0030029627960175276,0.0004259495181031525,0.04115217551589012,0.051779404282569885,-0.0017658313736319542,0.00035657055559568107,8.485555736115202e-05,-9.634759408072568e-07,-3.110038804265969e-08,-8.968579550128197e-07,-0.03316124156117439,-0.05176142230629921,-0.002400212222710252,-0.027317440137267113,-0.051759861409664154,-0.007457724306732416,15.10860824584961,2.6053836345672607,15.231863021850586,2.329030752182007,35.89176940917969,8.13613224029541,22.620479583740234
4.0,68.0,-0.0013905831146985292,-0.000996210379526019,-0.0008311303681693971,-0.0004514750908128917,-0.00032130590989254415,0.04289092496037483,0.39324700832366943,-0.0029157716780900955,-0.0014701912878081203,0.05353993922472,-0.000524564937222749,-0.0003362053248565644,0.0429062694311142,0.393271803855896,0.025144455954432487,7.587947038700804e-05,0.020759643986821175,0.06009938567876816,-0.0018447457114234567,0.23247261345386505,0.014569008722901344,0.0101079810410738,0.0004082647792529315,0.01754714548587799,0.02655836194753647,0.000943231803830713,-6.480669253505766e-05,0.01478994358330965,0.012726400047540665,0.05372752994298935,0.04425028711557388,-0.00015694669855292886,0.002876390004530549,-0.0012380039552226663,0.0024656120222061872,0.0004376211727503687,0.0019231191836297512,0.24529731273651123,0.24523060023784637,0.13646958768367767,0.1472734659910202,0.056325964629650116,0.05599763244390488,0.07281626015901566,0.001992663135752082,0.001445119734853506,-2.812785533023998e-05,0.04160352796316147,0.053093649446964264,-0.000665796163957566,0.0034043914638459682,0.00016359779692720622,-1.402185716870008e-06,6.680962005845004e-09,-1.7153120097646024e-06,-0.033076927065849304,-0.04204264655709267,-0.0030142792966216803,-0.024987367913126945,-0.042044032365083694,-0.006630088668316603,18.479511260986328,2.193666696548462,13.7660493850708,2.1629724502563477,40.639068603515625,6.865847587585449,17.864276885986328
5.0,68.0,-0.0011790303979068995,-0.0009985272772610188,-0.00046240873052738607,-0.00036242426722310483,-0.00037225655978545547,0.04486190900206566,0.36821448802948,-0.0028629344888031483,-0.0017753936117514968,0.056144725531339645,-0.0005077201640233397,-0.00041876372415572405,0.04486005753278732,0.36818012595176697,0.023794548586010933,4.153103509452194e-05,0.02042146399617195,0.06060175597667694,-0.0014424393884837627,0.23178640007972717,0.029263505712151527,0.008871699683368206,0.00045930990017950535,0.01079870481044054,0.018569931387901306,0.015950150787830353,0.01495980005711317,0.011244195513427258,0.009515744633972645,0.03562167286872864,0.030571579933166504,8.724934741621837e-05,0.002827840158715844,-0.0011764015071094036,0.0034967693500220776,0.0010874754516407847,0.0025773271918296814,0.20900018513202667,0.20973548293113708,0.11037822812795639,0.12062782049179077,0.05133364349603653,0.05118543654680252,0.07317734509706497,0.005294656381011009,0.004891043063253164,-0.0005697736633010209,0.038325291126966476,0.0508355014026165,0.0007867100066505373,0.011523030698299408,1.055640314007178e-05,-1.1254676337557612e-06,1.782438729946989e-08,-2.1794301119371084e-06,-0.03431214019656181,-0.03589320182800293,-0.003957145381718874,-0.025134779512882233,-0.03589363023638725,-0.006419649813324213,18.841691970825195,2.4473752975463867,15.864920616149902,2.2945613861083984,34.3441162109375,6.000918865203857,21.983745574951172
6.0,68.0,-0.000563846668228507,-0.00010865939111681655,-0.0005905950674787164,-0.0002899796818383038,-0.00033442131825722754,0.048327717930078506,0.38146907091140747,-0.0017292127013206482,-0.001173888216726482,0.06049178168177605,-0.0005499757244251668,-0.0004395651340018958,0.04831509292125702,0.3815692663192749,0.022323649376630783,4.353053373051807e-05,0.020097287371754646,0.058278147131204605,-0.0010013042483478785,0.2039591372013092,0.03792744502425194,0.008442874997854233,0.00040227622957900167,0.025187460705637932,0.02968163788318634,0.04049992188811302,0.040494855493307114,0.01002870686352253,0.008184423670172691,0.02760017104446888,0.02328406274318695,-0.00018026820907834917,0.0020698627922683954,-0.0014579363632947206,0.0038728436920791864,0.002001208486035466,0.003489463124424219,0.1785723716020584,0.17805352807044983,0.08958125859498978,0.09858401119709015,0.04630885645747185,0.04608948528766632,0.07066169381141663,0.0003499758895486593,1.6269945263047703e-05,-0.002058840822428465,0.03638232871890068,0.04920000210404396,0.0031020930036902428,0.016488095745444298,-8.036864892346784e-05,-1.0553713991612312e-06,-2.4501817463828957e-08,-2.0923905594827374e-06,-0.03592692315578461,-0.033129382878541946,-0.005052153021097183,-0.026059232652187347,-0.03313324227929115,-0.0068168845027685165,15.566681861877441,2.870157241821289,13.142359733581543,2.5037317276000977,39.75288391113281,8.075177192687988,19.837890625
7.0,68.0,-0.0010744482278823853,-0.0003361145791132003,-0.0007931975414976478,-0.0002818636130541563,-0.000411246350267902,0.04354118928313255,0.40492480993270874,-0.0018256864277645946,-0.001208681263960898,0.05903976038098335,-0.0007086941623128951,-0.00046695288619957864,0.04353826120495796,0.4051729440689087,0.02007848210632801,9.084499652090017e-06,0.018402472138404846,0.05326435714960098,-0.0004952747840434313,0.16687026619911194,0.045821890234947205,0.009686436504125595,0.00039382316754199564,0.03495508059859276,0.035311032086610794,0.051306746900081635,0.0546739399433136,0.011052433401346207,0.008775200694799423,0.026083143427968025,0.020214097574353218,2.257296046082047e-06,0.002217839239165187,-0.000792394217569381,0.0028541330248117447,0.002066729124635458,0.003509699599817395,0.13883647322654724,0.13635322451591492,0.05501769110560417,0.062130946666002274,0.04394674301147461,0.04364020377397537,0.07520175725221634,-0.0013115144101902843,-0.0015109964879229665,-0.00265725189819932,0.03363027051091194,0.04512353241443634,0.0013136318884789944,0.009607411921024323,-4.585804708767682e-05,-9.561845217831433e-07,-3.880665744304679e-08,-1.4151476079860004e-06,-0.03457582741975784,-0.038725629448890686,-0.004482728894799948,-0.02407311275601387,-0.038730520755052567,-0.00714701134711504,11.984548568725586,2.7484560012817383,15.107928276062012,2.514087438583374,36.60005187988281,7.18091344833374,25.754039764404297
8.0,68.0,-0.0013117743656039238,-0.0010653905337676406,-0.001168208778835833,-0.00029105687281116843,-0.000267103809164837,0.03949730470776558,0.42466530203819275,-0.0014574280939996243,-0.001779324607923627,0.05321015417575836,-0.0008785932441242039,-0.00031678852974437177,0.039501868188381195,0.42506521940231323,0.01866002380847931,-1.341957613476552e-05,0.014837375842034817,0.04470587894320488,0.0004886455717496574,0.1313629299402237,0.05481695011258125,0.01034505944699049,0.00029170376365073025,0.03981713205575943,0.037496961653232574,0.06835544854402542,0.07263680547475815,0.011362030170857906,0.008742825128138065,0.02680427022278309,0.020239626988768578,0.0002358437341172248,0.0020880349911749363,0.0003059932205360383,0.002080740174278617,0.0019467647653073072,0.0032335063442587852,0.10557907074689865,0.10114168375730515,0.03023509681224823,0.03439731523394585,0.05038601532578468,0.04998372495174408,0.079010970890522,-0.0024715906474739313,-0.002639516955241561,-0.0030682638753205538,0.03103533759713173,0.04074573516845703,-0.0016727111069485545,0.0002817710628733039,1.4276683032221626e-05,-1.1746178643079475e-06,-6.259916318640535e-08,-1.0910786159001873e-06,-0.031163182109594345,-0.04866398870944977,-0.0035613160580396652,-0.020402049645781517,-0.048671334981918335,-0.007424407172948122,9.08400821685791,2.4934029579162598,12.123281478881836,2.5259761810302734,42.25836944580078,10.043705940246582,23.44150733947754
9.0,68.0,-0.0012564636999741197,-0.000922064355108887,-0.0011843539541587234,-0.00021564873168244958,-0.00029753975104540586,0.037771616131067276,0.4329870343208313,-0.001813697861507535,-0.001493029179982841,0.046507954597473145,-0.0009803971042856574,-0.0003567867970559746,0.03775406256318092,0.43336713314056396,0.01784822903573513,-6.158744508866221e-05,0.012175706215202808,0.04795599356293678,0.002374230185523629,0.10942858457565308,0.059977684170007706,0.009913377463817596,0.00026630525826476514,0.036598026752471924,0.03356612101197243,0.09483959525823593,0.09862235188484192,0.011749387718737125,0.009202140383422375,0.03528974577784538,0.029806062579154968,-0.00020137362298555672,0.002191811101511121,-6.277158536249772e-05,0.0011845803819596767,0.0019213808700442314,0.0028792410157620907,0.09814728796482086,0.09463994950056076,0.016093650832772255,0.019829045981168747,0.053979214280843735,0.053630176931619644,0.08496832102537155,-0.002427352126687765,-0.002552601508796215,-0.0032603994477540255,0.029878707602620125,0.03916347399353981,-0.0012149546528235078,-0.0006705642445012927,1.5615305528626777e-05,-1.3217648984209518e-06,-1.0673784345271997e-07,-8.945231400048215e-08,-0.02742704190313816,-0.057726889848709106,-0.002469311933964491,-0.01706593856215477,-0.05773580074310303,-0.00751686142757535,7.682713031768799,2.2573866844177246,13.635611534118652,2.6874310970306396,34.15209197998047,8.763993263244629,32.61037063598633
