Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
0.0,68.0,0.07376476377248764,0.013727650977671146,0.05664128437638283,-0.0006186410901136696,-0.00027024169685319066,0.07574567943811417,0.2108224481344223,0.07103655487298965,0.01422946061939001,0.009649393148720264,0.038207899779081345,1.7032660252880305e-05,0.07574024796485901,0.2106480747461319,0.07912573963403702,-9.336499351775274e-05,0.016887828707695007,0.20855847001075745,-0.003475156147032976,0.11950120329856873,0.0025191360618919134,0.008898145519196987,0.001281878910958767,0.1933918446302414,0.1963980793952942,-0.0015663596568629146,-0.0009942272445186973,0.037778839468955994,0.035272881388664246,0.11443709582090378,0.09946142882108688,0.00035330065293237567,0.006965394597500563,-0.0011658741859719157,0.020985756069421768,0.002844969043508172,0.0049495757557451725,0.4572710394859314,0.4598887264728546,0.1914549320936203,0.2050890177488327,-0.00337699381634593,-0.0031612131278961897,0.0791315957903862,0.0664728432893753,0.06635545194149017,-0.0005795966717414558,0.11532174795866013,0.1226264014840126,0.03576347604393959,0.03739231079816818,-3.6085919418837875e-05,-2.8029765530845907e-07,-4.523698748926108e-08,-1.2147842198828585e-06,0.02219412289559841,-0.007732698693871498,0.0008380120270885527,0.024587057530879974,-0.0077334982343018055,-0.00040173419984057546,11.033666610717773,3.5335497856140137,8.402362823486328,3.4669981002807617,37.23168182373047,14.5256929397583,24.674667358398438
1.0,68.0,0.07865584641695023,0.022442709654569626,0.052091602236032486,-0.0005677272565662861,-0.00040485552744939923,0.07713578641414642,0.20098422467708588,0.07603827118873596,0.022959405556321144,0.010190896689891815,0.03403250500559807,-0.00019385245104786009,0.07713982462882996,0.20079734921455383,0.08003196120262146,-8.988480840343982e-05,0.017618756741285324,0.19986525177955627,-0.0036734160967171192,0.1544678807258606,0.01297399029135704,0.008458682335913181,0.0011318413307890296,0.19084957242012024,0.19733601808547974,-0.001290969899855554,-0.0006398260011337698,0.036666903644800186,0.03432803228497505,0.10574978590011597,0.09114275872707367,-3.1706025765743107e-05,0.006522259674966335,-0.0010342301102355123,0.02362421527504921,0.00339316064491868,0.00555493775755167,0.4595859944820404,0.462076872587204,0.21566350758075714,0.2296486794948578,-0.003227802226319909,-0.0029757972806692123,0.07290367037057877,0.07304266095161438,0.07295124232769012,-0.0006136618321761489,0.12201336771249771,0.1298314332962036,0.046186696738004684,0.050425782799720764,-2.081438469758723e-05,-2.337456095347079e-07,-3.696395367569494e-08,-1.27971293295559e-06,0.018878202885389328,-0.0012641084613278508,0.0010648451279848814,0.021828049793839455,-0.001263985293917358,0.0007151575409807265,12.2605562210083,3.662088632583618,8.296236038208008,3.9316086769104004,35.001747131347656,14.445601463317871,25.214353561401367
2.0,68.0,0.07444053143262863,0.031743526458740234,0.03763183206319809,-0.0003874790563713759,-0.0004948150599375367,0.07589834928512573,0.21691179275512695,0.07184426486492157,0.03212998807430267,0.015378710813820362,0.021118830889463425,-0.00035839196061715484,0.0759241133928299,0.21675634384155273,0.07601111382246017,-7.783187174936756e-05,0.017291037365794182,0.17607860267162323,-0.003233373397961259,0.2194131463766098,0.03175942599773407,0.007833017036318779,0.0010702915024012327,0.17358870804309845,0.1855934113264084,-0.0007512254524044693,-0.00021341926185414195,0.03451259061694145,0.03242158517241478,0.09935420006513596,0.08526179194450378,0.00015086538041941822,0.00654292106628418,-0.0002120335411746055,0.02814367786049843,0.00418747728690505,0.006487586069852114,0.44981181621551514,0.45126238465309143,0.24203802645206451,0.25670838356018066,-0.0035430029965937138,-0.0032594725489616394,0.06346140056848526,0.07722153514623642,0.07713824510574341,-0.00080563296796754,0.11926767975091934,0.1296403855085373,0.0572374053299427,0.06684178858995438,1.3917667274654377e-05,-3.1637762276659487e-07,-1.1321074744330417e-08,-1.2539329645733233e-06,0.007586762774735689,0.002095682080835104,0.0003203656815458089,0.012408487498760223,0.002095710253342986,0.0006978508899919689,13.522019386291504,3.787445306777954,9.232354164123535,4.452535152435303,32.6632080078125,12.725933074951172,26.46204376220703
3.0,68.0,0.0715329572558403,0.04628561809659004,0.016201462596654892,-0.00012329565652180463,-0.0005050933104939759,0.07148797810077667,0.2609565556049347,0.06920044124126434,0.04635460674762726,0.026754844933748245,0.0021444912999868393,-0.0004598056839313358,0.0715835839509964,0.2610194981098175,0.06626399606466293,-0.00014582934090867639,0.020025216042995453,0.14320944249629974,-0.0021911696530878544,0.3056332767009735,0.051730599254369736,0.00490522338077426,0.0010182998375967145,0.1386454850435257,0.15737566351890564,1.946682095876895e-05,0.00029992961208336055,0.03108333982527256,0.02960057184100151,0.08499667048454285,0.07365590333938599,-0.0006409644265659153,0.005967744160443544,0.00015010283095762134,0.0312797985970974,0.004096106626093388,0.006700619589537382,0.43954363465309143,0.44083964824676514,0.2795514166355133,0.2947624623775482,-0.0030205748043954372,-0.002798467641696334,0.057930514216423035,0.0833020955324173,0.08316126465797424,-0.0015646719839423895,0.10492191463708878,0.12069907784461975,0.07567258924245834,0.0924442782998085,0.0001937657652888447,-6.201162818797457e-07,2.0033269265695708e-08,-1.5419343526446028e-06,-0.011141053400933743,0.005872692912817001,-0.002106170868501067,-0.003940602298825979,0.0058654602617025375,-0.0007296057883650064,19.17919158935547,4.324814319610596,9.918611526489258,4.643458366394043,29.371395111083984,11.281018257141113,23.99997901916504
4.0,68.0,0.04837419092655182,0.049829766154289246,0.01005046721547842,-0.000280803011264652,-0.00035867744009010494,0.07129586488008499,0.2895985543727875,0.047477785497903824,0.04964079335331917,0.030239034444093704,-0.001129213604144752,-0.0004254078376106918,0.07143653929233551,0.289681077003479,0.05409909784793854,-0.00010951326839858666,0.021254491060972214,0.11472827196121216,-0.0017397664487361908,0.3214395046234131,0.06510770320892334,0.0032644832972437143,0.001136565930210054,0.10822514444589615,0.13091425597667694,0.00012065345072187483,0.0004552029713522643,0.024060426279902458,0.022816127166152,0.07455810904502869,0.06648089736700058,-0.0010408388916403055,0.004691227804869413,0.0004785753844771534,0.029020223766565323,0.005009532440453768,0.007635906804352999,0.41052132844924927,0.40894436836242676,0.27690908312797546,0.2926689386367798,-0.0019300016574561596,-0.0015805395087227225,0.06371848285198212,0.08593977987766266,0.08580079674720764,-0.0012476735282689333,0.09960369765758514,0.11692417412996292,0.08375519514083862,0.10334379225969315,0.000176542584085837,-6.912007393111708e-07,4.535547404316276e-08,-1.5226062259898754e-06,-0.01614578813314438,0.003446468384936452,-0.0027239471673965454,-0.0071366820484399796,0.003439979860559106,-0.0009566893568262458,20.320362091064453,4.555323123931885,10.934881210327148,4.468852996826172,33.87062072753906,7.75711727142334,20.339391708374023
5.0,68.0,0.03544081747531891,0.04735182225704193,0.008207198232412338,-0.0008410127484239638,-0.0002989857457578182,0.07274037599563599,0.2961907386779785,0.03514856845140457,0.0473177395761013,0.021182173863053322,-0.001227420987561345,-0.0004218291724100709,0.07289022207260132,0.2962731420993805,0.053665436804294586,-3.392031794646755e-05,0.02352309040725231,0.12559571862220764,-0.0023000596556812525,0.27044597268104553,0.0604064017534256,0.0024306706618517637,0.0010738720884546638,0.09035056084394455,0.11460214853286743,0.01188208069652319,0.012338255532085896,0.020593982189893723,0.019190849736332893,0.07115203142166138,0.06280037015676498,-0.001259017619304359,0.002770813414826989,0.00016258384857792407,0.021483946591615677,0.0059478795155882835,0.008504902943968773,0.4089541733264923,0.4063986837863922,0.23732677102088928,0.2528895139694214,-0.0016267492901533842,-0.0014033459592610598,0.07565522938966751,0.08922208100557327,0.0890372171998024,-0.0009012169321067631,0.10427536815404892,0.11945720762014389,0.06835982203483582,0.08530092239379883,2.078824763884768e-05,-1.0683830851121456e-06,7.891286912808937e-08,-1.1026957054127706e-06,-0.011637233197689056,0.000902417697943747,-0.0016765877371653914,-0.00206983694806695,0.0008995975367724895,-0.00037005290505476296,30.719669342041016,5.406632900238037,8.79389476776123,4.7983503341674805,24.68238639831543,6.239215850830078,21.604801177978516
6.0,68.0,0.01950385421514511,0.03274989128112793,0.00903460942208767,-0.0006633703596889973,-0.0002776597975753248,0.07347472012042999,0.3244503140449524,0.020353512838482857,0.03261924162507057,0.015827476978302002,0.0014370301505550742,-0.0003806364256888628,0.07367821037769318,0.3245961368083954,0.057085178792476654,-1.1297506716800854e-05,0.022877072915434837,0.12611785531044006,-0.0025094852317124605,0.2513522505760193,0.06488852202892303,0.002169025596231222,0.001234594383276999,0.09983029961585999,0.12323930114507675,0.032188769429922104,0.029473695904016495,0.020715301856398582,0.019280605018138885,0.07979871332645416,0.07093722373247147,-0.0013819974847137928,0.001394074410200119,-0.00033093109959736466,0.015043804422020912,0.007166932802647352,0.00998477078974247,0.4252174496650696,0.4207529127597809,0.21109417080879211,0.22713243961334229,-0.0022768566850572824,-0.002197722438722849,0.0866808146238327,0.09333004057407379,0.09316543489694595,-0.0007612244808115065,0.10594350099563599,0.12299122661352158,0.049319829791784286,0.06652643531560898,-5.148962009116076e-05,-1.0089670468005352e-06,5.557547311241251e-08,-9.46218108310859e-07,-0.006714710034430027,-0.0069835553877055645,-0.001604250050149858,0.002530030207708478,-0.006985009182244539,-0.0013405719073489308,23.65165138244629,5.067099094390869,7.931606292724609,4.271529197692871,33.057281494140625,7.687889099121094,20.787792205810547
7.0,68.0,0.005956928711384535,0.01635642722249031,0.009444172494113445,-0.0005700699985027313,-0.00026589861954562366,0.07383667677640915,0.36853426694869995,0.007158048916608095,0.016186028718948364,0.012691722251474857,0.0023055369965732098,-0.0003678464563563466,0.07404664158821106,0.36875414848327637,0.06035147234797478,-6.911014497745782e-05,0.021093063056468964,0.12219346314668655,-0.0021179013419896364,0.24874264001846313,0.08117624372243881,0.001916855457238853,0.0012946021743118763,0.11484497785568237,0.13641615211963654,0.05337732285261154,0.049021851271390915,0.02419222518801689,0.02284844219684601,0.09177000820636749,0.0822349265217781,-0.0012283771065995097,0.001153589691966772,-0.0004573096230160445,0.013509110547602177,0.007896088063716888,0.01087107416242361,0.4293767809867859,0.42201000452041626,0.20451682806015015,0.22029270231723785,-0.0028453681152313948,-0.0027369335293769836,0.08580443263053894,0.09307262301445007,0.09305109083652496,-0.0009888273198157549,0.09937091916799545,0.11736436933279037,0.03642496466636658,0.05545391887426376,2.4596904040663503e-05,-1.0280072046953137e-06,6.005595309943601e-08,-1.2594869076565374e-06,-0.0034461829345673323,-0.016674770042300224,-0.001128672156482935,0.004325401037931442,-0.01667768508195877,-0.0021824981085956097,17.909448623657227,3.9552314281463623,7.775183200836182,4.043852806091309,38.16326904296875,9.007391929626465,21.804784774780273
8.0,68.0,-0.0017320241313427687,0.004227271769195795,0.00756110018119216,-0.0006423252634704113,-0.00034095399314537644,0.06869965046644211,0.4093324542045593,-0.0013547271955758333,0.004059324972331524,0.013447653502225876,-0.0003285459824837744,-0.000427693099481985,0.06885219365358353,0.4095771014690399,0.05929318442940712,-3.956045475206338e-05,0.018997719511389732,0.1305622160434723,-0.0013369284570217133,0.2511644959449768,0.10359850525856018,0.001981433480978012,0.0012574463617056608,0.11150356382131577,0.1344757378101349,0.054431576281785965,0.05088946223258972,0.02411668375134468,0.022726338356733322,0.10052608698606491,0.08939597755670547,-0.0015327882720157504,0.0012012135703116655,-0.00021713838214054704,0.012044673785567284,0.007630565203726292,0.010681191459298134,0.4299466609954834,0.42032378911972046,0.1931799054145813,0.20820218324661255,-0.00228128582239151,-0.002123788231983781,0.08760664612054825,0.09196433424949646,0.09201305359601974,-0.0009849993512034416,0.08499656617641449,0.10315274447202682,0.031074602156877518,0.050654105842113495,-1.945549956872128e-05,-1.2545751815196127e-06,5.7747755022319325e-08,-1.4858785561955301e-06,-0.0047801341861486435,-0.02861352264881134,-0.0005393920000642538,0.0026753991842269897,-0.028618309646844864,-0.002899507526308298,12.136040687561035,3.0966570377349854,7.364933490753174,3.3379244804382324,46.38786315917969,9.710586547851562,20.543941497802734
9.0,68.0,-0.002586772432550788,-0.00017340762133244425,0.00961077120155096,-0.0005850124289281666,-0.0003925385244656354,0.06251516938209534,0.4256639778614044,-0.0020597416441887617,-0.00033754220930859447,0.012209424749016762,-0.00022681275731883943,-0.0004764622135553509,0.0626969113945961,0.4259297251701355,0.05671511963009834,-2.3004272406979e-06,0.016402248293161392,0.13627751171588898,-1.9572806195355952e-05,0.22538401186466217,0.1025308221578598,0.0027709684800356627,0.0012344103306531906,0.10047680139541626,0.12240703403949738,0.05301876366138458,0.049909885972738266,0.022389698773622513,0.021144643425941467,0.10869864374399185,0.09733281284570694,-0.0017233651597052813,0.0011047121370211244,-0.00016513913578819484,0.007501084823161364,0.006374323274940252,0.009267850778996944,0.4129168689250946,0.4039801359176636,0.16420410573482513,0.17782585322856903,-0.0026389197446405888,-0.002386570442467928,0.10394825786352158,0.08869297802448273,0.08882217109203339,-0.000903634587302804,0.07574841380119324,0.09312337636947632,0.018966875970363617,0.037535473704338074,3.4889220842160285e-05,-1.504969986854121e-06,4.7476067521756704e-08,-9.71418899098353e-07,-0.0029953550547361374,-0.038337431848049164,8.409137808484957e-05,0.0036043815780431032,-0.03834284842014313,-0.003648347919806838,14.919655799865723,3.0317392349243164,11.282374382019043,3.55614972114563,36.77887725830078,6.102317810058594,26.817642211914062
